,epmc_id,source,datalink_ID,datalink_IDScheme,datalink_IDURL,datalink_Category
1059,23976967,MED,BX648304,ENA,http://identifiers.org/ebi/ena.embl:BX648304,Nucleotide Sequences
1060,23976967,MED,BC035497,ENA,http://identifiers.org/ebi/ena.embl:BC035497,Nucleotide Sequences
1061,23976967,MED,PRJNA209091,ENA,http://www.ebi.ac.uk/ena/data/view/PRJNA209091,Nucleotide Sequences
1063,18468712,MED,EF520287,ENA,http://identifiers.org/ebi/ena.embl:EF520287,Nucleotide Sequences
1064,18468712,MED,EF444554,ENA,http://identifiers.org/ebi/ena.embl:EF444554,Nucleotide Sequences
1065,18468712,MED,EF444549,ENA,http://identifiers.org/ebi/ena.embl:EF444549,Nucleotide Sequences
1066,18468712,MED,EF127906,ENA,http://identifiers.org/ebi/ena.embl:EF127906,Nucleotide Sequences
1067,18468712,MED,EU358769,ENA,http://identifiers.org/ebi/ena.embl:EU358769,Nucleotide Sequences
1068,18468712,MED,EF520289,ENA,http://identifiers.org/ebi/ena.embl:EF520289,Nucleotide Sequences
1069,18468712,MED,EF127908,ENA,http://identifiers.org/ebi/ena.embl:EF127908,Nucleotide Sequences
1070,18468712,MED,EU358768,ENA,http://identifiers.org/ebi/ena.embl:EU358768,Nucleotide Sequences
1071,18468712,MED,EU358767,ENA,http://identifiers.org/ebi/ena.embl:EU358767,Nucleotide Sequences
1072,18468712,MED,EU358766,ENA,http://identifiers.org/ebi/ena.embl:EU358766,Nucleotide Sequences
1073,18468712,MED,EU358745,ENA,http://identifiers.org/ebi/ena.embl:EU358745,Nucleotide Sequences
1074,18468712,MED,EU358753,ENA,http://identifiers.org/ebi/ena.embl:EU358753,Nucleotide Sequences
1075,18468712,MED,EU358752,ENA,http://identifiers.org/ebi/ena.embl:EU358752,Nucleotide Sequences
1076,18468712,MED,EU358751,ENA,http://identifiers.org/ebi/ena.embl:EU358751,Nucleotide Sequences
1077,18468712,MED,EU358750,ENA,http://identifiers.org/ebi/ena.embl:EU358750,Nucleotide Sequences
1078,18468712,MED,EF444553,ENA,http://identifiers.org/ebi/ena.embl:EF444553,Nucleotide Sequences
1079,18468712,MED,EU358759,ENA,http://identifiers.org/ebi/ena.embl:EU358759,Nucleotide Sequences
1080,18468712,MED,EU358758,ENA,http://identifiers.org/ebi/ena.embl:EU358758,Nucleotide Sequences
1081,18468712,MED,EU358757,ENA,http://identifiers.org/ebi/ena.embl:EU358757,Nucleotide Sequences
1082,18468712,MED,EU358756,ENA,http://identifiers.org/ebi/ena.embl:EU358756,Nucleotide Sequences
1083,18468712,MED,EU358755,ENA,http://identifiers.org/ebi/ena.embl:EU358755,Nucleotide Sequences
1084,18468712,MED,EU358754,ENA,http://identifiers.org/ebi/ena.embl:EU358754,Nucleotide Sequences
1085,18468712,MED,EU358764,ENA,http://identifiers.org/ebi/ena.embl:EU358764,Nucleotide Sequences
1086,18468712,MED,EU358763,ENA,http://identifiers.org/ebi/ena.embl:EU358763,Nucleotide Sequences
1087,18468712,MED,EU358762,ENA,http://identifiers.org/ebi/ena.embl:EU358762,Nucleotide Sequences
1088,18468712,MED,EU358761,ENA,http://identifiers.org/ebi/ena.embl:EU358761,Nucleotide Sequences
1089,18468712,MED,EU358760,ENA,http://identifiers.org/ebi/ena.embl:EU358760,Nucleotide Sequences
1090,18468712,MED,EF444551,ENA,http://identifiers.org/ebi/ena.embl:EF444551,Nucleotide Sequences
1091,18468712,MED,EF444552,ENA,http://identifiers.org/ebi/ena.embl:EF444552,Nucleotide Sequences
1092,18468712,MED,EF444550,ENA,http://identifiers.org/ebi/ena.embl:EF444550,Nucleotide Sequences
1093,18468712,MED,EF520288,ENA,http://identifiers.org/ebi/ena.embl:EF520288,Nucleotide Sequences
1094,18468712,MED,EF127907,ENA,http://identifiers.org/ebi/ena.embl:EF127907,Nucleotide Sequences
1095,18468712,MED,EU358749,ENA,http://identifiers.org/ebi/ena.embl:EU358749,Nucleotide Sequences
1096,18468712,MED,EU358748,ENA,http://identifiers.org/ebi/ena.embl:EU358748,Nucleotide Sequences
1097,18468712,MED,EU358747,ENA,http://identifiers.org/ebi/ena.embl:EU358747,Nucleotide Sequences
1098,18468712,MED,EU358746,ENA,http://identifiers.org/ebi/ena.embl:EU358746,Nucleotide Sequences
1099,18468712,MED,EU358765,ENA,http://identifiers.org/ebi/ena.embl:EU358765,Nucleotide Sequences
1100,18468712,MED,ACB11998,ENA,http://www.ebi.ac.uk/ena/data/view/ACB11998,Nucleotide Sequences
1101,18468712,MED,ACB12002,ENA,http://www.ebi.ac.uk/ena/data/view/ACB12002,Nucleotide Sequences
1102,18468712,MED,ACB12001,ENA,http://www.ebi.ac.uk/ena/data/view/ACB12001,Nucleotide Sequences
1103,18468712,MED,ACB12003,ENA,http://www.ebi.ac.uk/ena/data/view/ACB12003,Nucleotide Sequences
