,epmc_id,source,datalink_ID,datalink_IDScheme,datalink_IDURL,datalink_Category
731,24067902,MED,PRJNA152339,ENA,http://www.ebi.ac.uk/ena/data/view/PRJNA152339,Nucleotide Sequences
738,30540547,MED,PRJNA292102,ENA,http://www.ebi.ac.uk/ena/data/view/PRJNA292102,Nucleotide Sequences
772,26164662,MED,SRP055438,ENA,http://www.ebi.ac.uk/ena/data/view/SRP055438,Nucleotide Sequences
773,26164662,MED,PRJNA276116,ENA,http://www.ebi.ac.uk/ena/data/view/PRJNA276116,Nucleotide Sequences
774,26164662,MED,PRJNA276112,ENA,http://www.ebi.ac.uk/ena/data/view/PRJNA276112,Nucleotide Sequences
775,26164662,MED,SRP055439,ENA,http://www.ebi.ac.uk/ena/data/view/SRP055439,Nucleotide Sequences
776,26164662,MED,PRJNA276115,ENA,http://www.ebi.ac.uk/ena/data/view/PRJNA276115,Nucleotide Sequences
780,27244555,MED,PRJNA301938,ENA,http://www.ebi.ac.uk/ena/data/view/PRJNA301938,Nucleotide Sequences
791,30287520,MED,PRJNA472352,ENA,http://www.ebi.ac.uk/ena/data/view/PRJNA472352,Nucleotide Sequences
795,27453547,MED,M81361,ENA,http://identifiers.org/ebi/ena.embl:M81361,Nucleotide Sequences
796,27453547,MED,V01460,ENA,http://identifiers.org/ebi/ena.embl:V01460,Nucleotide Sequences
801,29904624,MED,PRJNA486651,ENA,http://www.ebi.ac.uk/ena/data/view/PRJNA486651,Nucleotide Sequences
802,29904624,MED,SRP166989,ENA,http://www.ebi.ac.uk/ena/data/view/SRP166989,Nucleotide Sequences
803,28074113,MED,X02612,ENA,http://identifiers.org/ebi/ena.embl:X02612,Nucleotide Sequences
813,28130554,MED,M14123,ENA,http://identifiers.org/ebi/ena.embl:M14123,Nucleotide Sequences
831,33400168,MED,AI467003,ENA,http://identifiers.org/ebi/ena.embl:AI467003,Nucleotide Sequences
837,27486882,MED,AB014381,ENA,http://identifiers.org/ebi/ena.embl:AB014381,Nucleotide Sequences
838,27486882,MED,M32138,ENA,http://identifiers.org/ebi/ena.embl:M32138,Nucleotide Sequences
839,27486882,MED,AF223965,ENA,http://identifiers.org/ebi/ena.embl:AF223965,Nucleotide Sequences
840,27486882,MED,X65259,ENA,http://identifiers.org/ebi/ena.embl:X65259,Nucleotide Sequences
841,27486882,MED,X85254,ENA,http://identifiers.org/ebi/ena.embl:X85254,Nucleotide Sequences
842,27486882,MED,AB064310,ENA,http://identifiers.org/ebi/ena.embl:AB064310,Nucleotide Sequences
843,27486882,MED,X69798,ENA,http://identifiers.org/ebi/ena.embl:X69798,Nucleotide Sequences
844,27486882,MED,AY090460,ENA,http://identifiers.org/ebi/ena.embl:AY090460,Nucleotide Sequences
845,27486882,MED,X75657,ENA,http://identifiers.org/ebi/ena.embl:X75657,Nucleotide Sequences
846,27486882,MED,AF100309,ENA,http://identifiers.org/ebi/ena.embl:AF100309,Nucleotide Sequences
847,27486882,MED,AF405706,ENA,http://identifiers.org/ebi/ena.embl:AF405706,Nucleotide Sequences
848,27486882,MED,X51970,ENA,http://identifiers.org/ebi/ena.embl:X51970,Nucleotide Sequences
849,27486882,MED,D00329,ENA,http://identifiers.org/ebi/ena.embl:D00329,Nucleotide Sequences
850,27486882,MED,AB032431,ENA,http://identifiers.org/ebi/ena.embl:AB032431,Nucleotide Sequences
851,27486882,MED,AB033554,ENA,http://identifiers.org/ebi/ena.embl:AB033554,Nucleotide Sequences
852,27486882,MED,AF090842,ENA,http://identifiers.org/ebi/ena.embl:AF090842,Nucleotide Sequences
853,27486882,MED,X04615,ENA,http://identifiers.org/ebi/ena.embl:X04615,Nucleotide Sequences
854,27486882,MED,X02763,ENA,http://identifiers.org/ebi/ena.embl:X02763,Nucleotide Sequences
855,27486882,MED,AF160501,ENA,http://identifiers.org/ebi/ena.embl:AF160501,Nucleotide Sequences
856,27486882,MED,AY090454,ENA,http://identifiers.org/ebi/ena.embl:AY090454,Nucleotide Sequences
857,27486882,MED,AB036910,ENA,http://identifiers.org/ebi/ena.embl:AB036910,Nucleotide Sequences
858,27486882,MED,AY090457,ENA,http://identifiers.org/ebi/ena.embl:AY090457,Nucleotide Sequences
872,27652277,MED,DQ379956,ENA,http://identifiers.org/ebi/ena.embl:DQ379956,Nucleotide Sequences
